phenomenon,sentence_number,spa_eng_grammatical,spa_eng_ungrammatical,eng_spa_grammatical,eng_spa_ungrammatical
SimpleNPs,1,María dejó el book sobre la mesa antes de salir esta mañana.,María dejó book el sobre la mesa antes de salir esta mañana.,She found the libro on the table during the meeting yesterday.,She found libro the on the table during the meeting yesterday.
SimpleNPs,2,El mecánico revisó el car antes de devolverlo al cliente esta tarde.,El mecánico revisó car el antes de devolverlo al cliente esta tarde.,The driver washed the coche after the long trip across the country.,The driver washed coche the after the long trip across the country.
SimpleNPs,3,Los niños alimentaron el dog en el patio trasero esta mañana temprano.,Los niños alimentaron dog el en el patio trasero esta mañana temprano.,She adopted the perro from the shelter last Saturday afternoon.,She adopted perro the from the shelter last Saturday afternoon.
SimpleNPs,4,Siempre guardo el cat en su caja cuando viajamos en coche juntos.,Siempre guardo cat el en su caja cuando viajamos en coche juntos.,He stroked the gato gently while watching television after dinner tonight.,He stroked gato the gently while watching television after dinner tonight.
SimpleNPs,5,Por favor deja el phone en la mesa antes de que lleguen.,Por favor deja phone el en la mesa antes de que lleguen.,I charged the teléfono overnight so it would be ready this morning.,I charged teléfono the overnight so it would be ready this morning.
SimpleNPs,6,El profesor encendió el computer antes de empezar la clase de hoy.,El profesor encendió computer el antes de empezar la clase de hoy.,They updated the ordenador with the latest security patches last night.,They updated ordenador the with the latest security patches last night.
SimpleNPs,7,Firma aquí  por favor con el pen que está en la mesa.,Firma aquí  por favor  con pen el que está en la mesa.,He couldn't find the bolígrafo when he needed to sign the contract.,He couldn't find bolígrafo the when he needed to sign the contract.
SimpleNPs,8,Compré el bread en la panadería antes de volver al trabajo hoy.,Compré bread el en la panadería antes de volver al trabajo hoy.,She sliced the pan carefully for the guests at breakfast this morning.,She sliced pan the carefully for the guests at breakfast this morning.
SimpleNPs,9,Encontré el shoe junto a la puerta después de la fiesta anoche.,Encontré shoe el junto a la puerta después de la fiesta anoche.,He polished the zapato before the interview to make a good impression.,He polished zapato the before the interview to make a good impression.
SimpleNPs,10,Guardó el bag debajo de la silla antes de que empezara la reunión.,Guardó bag el debajo de la silla antes de que empezara la reunión.,Please bring the bolso to the front desk when you check out today.,Please bring bolso the to the front desk when you check out today.
