label,sentence,surprisal
SimpleNPs_1_spa_eng_grammatical,María dejó el book sobre la mesa antes de salir esta mañana.,30.110198974609375
SimpleNPs_2_spa_eng_grammatical,El mecánico revisó el car antes de devolverlo al cliente esta tarde.,30.180442810058594
SimpleNPs_3_spa_eng_grammatical,Los niños alimentaron el dog en el patio trasero esta mañana temprano.,23.150894165039062
SimpleNPs_4_spa_eng_grammatical,Siempre guardo el cat en su caja cuando viajamos en coche juntos.,29.214519500732422
SimpleNPs_5_spa_eng_grammatical,Por favor deja el phone en la mesa antes de que lleguen.,29.507774353027344
SimpleNPs_6_spa_eng_grammatical,El profesor encendió el computer antes de empezar la clase de hoy.,15.246223449707031
SimpleNPs_7_spa_eng_grammatical,Firma aquí  por favor con el pen que está en la mesa.,41.01898956298828
SimpleNPs_8_spa_eng_grammatical,Compré el bread en la panadería antes de volver al trabajo hoy.,24.694202423095703
SimpleNPs_9_spa_eng_grammatical,Encontré el shoe junto a la puerta después de la fiesta anoche.,30.557720184326172
SimpleNPs_10_spa_eng_grammatical,Guardó el bag debajo de la silla antes de que empezara la reunión.,32.26342010498047
SimpleNPs_11_spa_eng_grammatical,Colocó el hat en la percha junto a la chaqueta en la entrada.,43.312129974365234
SimpleNPs_12_spa_eng_grammatical,Ana perdió el watch durante la caminata por el parque ayer por la tarde.,29.03372573852539
SimpleNPs_13_spa_eng_grammatical,Pon el glass en el fregadero cuando termines de lavar los platos.,19.78543472290039
SimpleNPs_14_spa_eng_grammatical,Lava el plate después de cenar para que esté listo mañana temprano.,42.14253616333008
SimpleNPs_15_spa_eng_grammatical,Corta el pan con el knife que está en la cocina ahora mismo.,19.054763793945312
SimpleNPs_16_spa_eng_grammatical,Pon el fork a la derecha del plato antes de que lleguen los invitados.,25.60556411743164
SimpleNPs_17_spa_eng_grammatical,Escribe tu nombre con el pencil en la esquina superior del formulario.,11.858192443847656
SimpleNPs_18_spa_eng_grammatical,Deja el notebook en mi escritorio cuando termines de estudiar esta noche.,29.79810333251953
SimpleNPs_19_spa_eng_grammatical,Coloca el map en la mesa para que todos puedan verlo claramente.,29.061668395996094
SimpleNPs_20_spa_eng_grammatical,Plantaron el tree junto al camino durante la jornada de voluntariado comunitario.,36.99141311645508
SimpleNPs_21_spa_eng_grammatical,Tomaron el train de las ocho para llegar a la ciudad a tiempo.,29.963924407958984
SimpleNPs_22_spa_eng_grammatical,Reservaron el plane con antelación para conseguir mejores asientos en la fila.,40.90072250366211
SimpleNPs_23_spa_eng_grammatical,Alquilamos el boat para navegar por la bahía durante la tarde soleada.,18.273494720458984
SimpleNPs_24_spa_eng_grammatical,Dejaron el bench frente al museo para esperar a sus amigos juntos.,44.51117706298828
SimpleNPs_25_spa_eng_grammatical,Compramos frutas frescas en el market cerca de la plaza central.,23.200164794921875
SimpleNPs_26_spa_eng_grammatical,Montaron el horse por el sendero que bordea el río esta mañana.,33.34410095214844
SimpleNPs_27_spa_eng_grammatical,Apaga el television cuando termines de ver el programa esta noche.,25.277790069580078
SimpleNPs_28_spa_eng_grammatical,Cuelga el jacket en el armario antes de salir a la lluvia.,23.50491714477539
SimpleNPs_29_spa_eng_grammatical,Guarda el ticket en tu cartera para mostrarlo al entrar al concierto.,23.930328369140625
SimpleNPs_30_spa_eng_grammatical,Colocó el ring en la caja y lo dejó sobre la mesa.,13.10586166381836
SimpleNPs_31_spa_eng_grammatical,Practica el piano media hora cada tarde para mejorar la pieza difícil.,45.86747741699219
SimpleNPs_32_spa_eng_grammatical,Recoge el umbrella del perchero antes de salir bajo la lluvia.,34.33536911010742
SimpleNPs_33_spa_eng_grammatical,Envía el document por correo electrónico al cliente antes del mediodía por favor.,20.105224609375
SimpleNPs_34_spa_eng_grammatical,Coloca el mirror en la pared del pasillo junto a la entrada.,19.117183685302734
SimpleNPs_35_spa_eng_grammatical,Pasa el brush por el pelo del perro después del paseo diario.,29.683101654052734
SimpleNPs_36_spa_eng_grammatical,Deja el soap junto al lavabo para que los invitados lo usen.,28.917919158935547
SimpleNPs_37_spa_eng_grammatical,Precalienta el oven a la temperatura indicada antes de meter la masa.,32.85097122192383
SimpleNPs_38_spa_eng_grammatical,Lee el newspaper mientras tomas café en la terraza esta mañana tranquila.,39.052772521972656
SimpleNPs_39_spa_eng_grammatical,Ajusta el helmet antes de subir a la bicicleta en la pista.,21.579002380371094
SimpleNPs_40_spa_eng_grammatical,Encuentra el glove que combina con tu abrigo en el cajón.,20.267436981201172
