label,phenomenon,sentence_number,codeswitch_direction,grammaticality,sentence,surprisal
SimpleNPs_1_spa_eng_grammatical,SimpleNPs,1,spa_eng,grammatical,María dejó el book sobre la mesa antes de salir esta mañana.,30.11019897
SimpleNPs_2_spa_eng_grammatical,SimpleNPs,2,spa_eng,grammatical,El mecánico revisó el car antes de devolverlo al cliente esta tarde.,30.18044281
SimpleNPs_3_spa_eng_grammatical,SimpleNPs,3,spa_eng,grammatical,Los niños alimentaron el dog en el patio trasero esta mañana temprano.,23.15089417
SimpleNPs_4_spa_eng_grammatical,SimpleNPs,4,spa_eng,grammatical,Siempre guardo el cat en su caja cuando viajamos en coche juntos.,29.2145195
SimpleNPs_5_spa_eng_grammatical,SimpleNPs,5,spa_eng,grammatical,Por favor deja el phone en la mesa antes de que lleguen.,29.50777435
SimpleNPs_6_spa_eng_grammatical,SimpleNPs,6,spa_eng,grammatical,El profesor encendió el computer antes de empezar la clase de hoy.,15.24622345
SimpleNPs_7_spa_eng_grammatical,SimpleNPs,7,spa_eng,grammatical,Firma aquí  por favor con el pen que está en la mesa.,41.01898956
SimpleNPs_8_spa_eng_grammatical,SimpleNPs,8,spa_eng,grammatical,Compré el bread en la panadería antes de volver al trabajo hoy.,24.69420242
SimpleNPs_9_spa_eng_grammatical,SimpleNPs,9,spa_eng,grammatical,Encontré el shoe junto a la puerta después de la fiesta anoche.,30.55772018
SimpleNPs_10_spa_eng_grammatical,SimpleNPs,10,spa_eng,grammatical,Guardó el bag debajo de la silla antes de que empezara la reunión.,32.2634201
SimpleNPs_11_spa_eng_grammatical,SimpleNPs,11,spa_eng,grammatical,Colocó el hat en la percha junto a la chaqueta en la entrada.,43.31212997
SimpleNPs_12_spa_eng_grammatical,SimpleNPs,12,spa_eng,grammatical,Ana perdió el watch durante la caminata por el parque ayer por la tarde.,29.03372574
SimpleNPs_13_spa_eng_grammatical,SimpleNPs,13,spa_eng,grammatical,Pon el glass en el fregadero cuando termines de lavar los platos.,19.78543472
SimpleNPs_14_spa_eng_grammatical,SimpleNPs,14,spa_eng,grammatical,Lava el plate después de cenar para que esté listo mañana temprano.,42.14253616
SimpleNPs_15_spa_eng_grammatical,SimpleNPs,15,spa_eng,grammatical,Corta el pan con el knife que está en la cocina ahora mismo.,19.05476379
SimpleNPs_16_spa_eng_grammatical,SimpleNPs,16,spa_eng,grammatical,Pon el fork a la derecha del plato antes de que lleguen los invitados.,25.60556412
SimpleNPs_17_spa_eng_grammatical,SimpleNPs,17,spa_eng,grammatical,Escribe tu nombre con el pencil en la esquina superior del formulario.,11.85819244
SimpleNPs_18_spa_eng_grammatical,SimpleNPs,18,spa_eng,grammatical,Deja el notebook en mi escritorio cuando termines de estudiar esta noche.,29.79810333
SimpleNPs_19_spa_eng_grammatical,SimpleNPs,19,spa_eng,grammatical,Coloca el map en la mesa para que todos puedan verlo claramente.,29.0616684
SimpleNPs_20_spa_eng_grammatical,SimpleNPs,20,spa_eng,grammatical,Plantaron el tree junto al camino durante la jornada de voluntariado comunitario.,36.99141312
SimpleNPs_21_spa_eng_grammatical,SimpleNPs,21,spa_eng,grammatical,Tomaron el train de las ocho para llegar a la ciudad a tiempo.,29.96392441
SimpleNPs_22_spa_eng_grammatical,SimpleNPs,22,spa_eng,grammatical,Reservaron el plane con antelación para conseguir mejores asientos en la fila.,40.9007225
SimpleNPs_23_spa_eng_grammatical,SimpleNPs,23,spa_eng,grammatical,Alquilamos el boat para navegar por la bahía durante la tarde soleada.,18.27349472
SimpleNPs_24_spa_eng_grammatical,SimpleNPs,24,spa_eng,grammatical,Dejaron el bench frente al museo para esperar a sus amigos juntos.,44.51117706
SimpleNPs_25_spa_eng_grammatical,SimpleNPs,25,spa_eng,grammatical,Compramos frutas frescas en el market cerca de la plaza central.,23.20016479
SimpleNPs_26_spa_eng_grammatical,SimpleNPs,26,spa_eng,grammatical,Montaron el horse por el sendero que bordea el río esta mañana.,33.34410095
SimpleNPs_27_spa_eng_grammatical,SimpleNPs,27,spa_eng,grammatical,Apaga el television cuando termines de ver el programa esta noche.,25.27779007
SimpleNPs_28_spa_eng_grammatical,SimpleNPs,28,spa_eng,grammatical,Cuelga el jacket en el armario antes de salir a la lluvia.,23.50491714
SimpleNPs_29_spa_eng_grammatical,SimpleNPs,29,spa_eng,grammatical,Guarda el ticket en tu cartera para mostrarlo al entrar al concierto.,23.93032837
SimpleNPs_30_spa_eng_grammatical,SimpleNPs,30,spa_eng,grammatical,Colocó el ring en la caja y lo dejó sobre la mesa.,13.10586166
SimpleNPs_31_spa_eng_grammatical,SimpleNPs,31,spa_eng,grammatical,Practica el piano media hora cada tarde para mejorar la pieza difícil.,45.86747742
SimpleNPs_32_spa_eng_grammatical,SimpleNPs,32,spa_eng,grammatical,Recoge el umbrella del perchero antes de salir bajo la lluvia.,34.33536911
SimpleNPs_33_spa_eng_grammatical,SimpleNPs,33,spa_eng,grammatical,Envía el document por correo electrónico al cliente antes del mediodía por favor.,20.10522461
SimpleNPs_34_spa_eng_grammatical,SimpleNPs,34,spa_eng,grammatical,Coloca el mirror en la pared del pasillo junto a la entrada.,19.11718369
SimpleNPs_35_spa_eng_grammatical,SimpleNPs,35,spa_eng,grammatical,Pasa el brush por el pelo del perro después del paseo diario.,29.68310165
