label,sentence
SimpleNPs_1_spa_eng_grammatical,María dejó el book sobre la mesa antes de salir esta mañana.
SimpleNPs_2_spa_eng_grammatical,El mecánico revisó el car antes de devolverlo al cliente esta tarde.
SimpleNPs_3_spa_eng_grammatical,Los niños alimentaron el dog en el patio trasero esta mañana temprano.
SimpleNPs_4_spa_eng_grammatical,Siempre guardo el cat en su caja cuando viajamos en coche juntos.
SimpleNPs_5_spa_eng_grammatical,Por favor deja el phone en la mesa antes de que lleguen.
SimpleNPs_6_spa_eng_grammatical,El profesor encendió el computer antes de empezar la clase de hoy.
SimpleNPs_7_spa_eng_grammatical,Firma aquí  por favor con el pen que está en la mesa.
SimpleNPs_8_spa_eng_grammatical,Compré el bread en la panadería antes de volver al trabajo hoy.
SimpleNPs_9_spa_eng_grammatical,Encontré el shoe junto a la puerta después de la fiesta anoche.
SimpleNPs_10_spa_eng_grammatical,Guardó el bag debajo de la silla antes de que empezara la reunión.
SimpleNPs_11_spa_eng_grammatical,Colocó el hat en la percha junto a la chaqueta en la entrada.
SimpleNPs_12_spa_eng_grammatical,Ana perdió el watch durante la caminata por el parque ayer por la tarde.
SimpleNPs_13_spa_eng_grammatical,Pon el glass en el fregadero cuando termines de lavar los platos.
SimpleNPs_14_spa_eng_grammatical,Lava el plate después de cenar para que esté listo mañana temprano.
SimpleNPs_15_spa_eng_grammatical,Corta el pan con el knife que está en la cocina ahora mismo.
SimpleNPs_16_spa_eng_grammatical,Pon el fork a la derecha del plato antes de que lleguen los invitados.
SimpleNPs_17_spa_eng_grammatical,Escribe tu nombre con el pencil en la esquina superior del formulario.
SimpleNPs_18_spa_eng_grammatical,Deja el notebook en mi escritorio cuando termines de estudiar esta noche.
SimpleNPs_19_spa_eng_grammatical,Coloca el map en la mesa para que todos puedan verlo claramente.
SimpleNPs_20_spa_eng_grammatical,Plantaron el tree junto al camino durante la jornada de voluntariado comunitario.
SimpleNPs_21_spa_eng_grammatical,Tomaron el train de las ocho para llegar a la ciudad a tiempo.
SimpleNPs_22_spa_eng_grammatical,Reservaron el plane con antelación para conseguir mejores asientos en la fila.
SimpleNPs_23_spa_eng_grammatical,Alquilamos el boat para navegar por la bahía durante la tarde soleada.
SimpleNPs_24_spa_eng_grammatical,Dejaron el bench frente al museo para esperar a sus amigos juntos.
SimpleNPs_25_spa_eng_grammatical,Compramos frutas frescas en el market cerca de la plaza central.
SimpleNPs_26_spa_eng_grammatical,Montaron el horse por el sendero que bordea el río esta mañana.
SimpleNPs_27_spa_eng_grammatical,Apaga el television cuando termines de ver el programa esta noche.
SimpleNPs_28_spa_eng_grammatical,Cuelga el jacket en el armario antes de salir a la lluvia.
SimpleNPs_29_spa_eng_grammatical,Guarda el ticket en tu cartera para mostrarlo al entrar al concierto.
SimpleNPs_30_spa_eng_grammatical,Colocó el ring en la caja y lo dejó sobre la mesa.
SimpleNPs_31_spa_eng_grammatical,Practica el piano media hora cada tarde para mejorar la pieza difícil.
SimpleNPs_32_spa_eng_grammatical,Recoge el umbrella del perchero antes de salir bajo la lluvia.
SimpleNPs_33_spa_eng_grammatical,Envía el document por correo electrónico al cliente antes del mediodía por favor.
SimpleNPs_34_spa_eng_grammatical,Coloca el mirror en la pared del pasillo junto a la entrada.
SimpleNPs_35_spa_eng_grammatical,Pasa el brush por el pelo del perro después del paseo diario.
SimpleNPs_36_spa_eng_grammatical,Deja el soap junto al lavabo para que los invitados lo usen.
SimpleNPs_37_spa_eng_grammatical,Precalienta el oven a la temperatura indicada antes de meter la masa.
SimpleNPs_38_spa_eng_grammatical,Lee el newspaper mientras tomas café en la terraza esta mañana tranquila.
SimpleNPs_39_spa_eng_grammatical,Ajusta el helmet antes de subir a la bicicleta en la pista.
SimpleNPs_40_spa_eng_grammatical,Encuentra el glove que combina con tu abrigo en el cajón.
SimpleNPs_41_spa_eng_grammatical,Lava el sweater según las instrucciones antes de guardarlo en otoño.
